energy	cross section	transition
11.076	1.2766e-12	3 1 3 8
15.286	1.8688e-12	3 1 3 9
16.103	1.0954e-12	3 1 3 10
17.964	1.0463e-12	3 1 3 11
19.498	1.4594e-14	3 2 0 4
27.104	2.3018e-14	3 2 0 5
28.445	2.4956e-14	3 2 0 6
29.478	2.9308e-14	3 2 0 7
29.791	2.9641e-14	3 2 0 8
31.224	2.6606e-14	3 2 0 9
31.256	2.9458e-14	3 2 0 10
31.704	2.7471e-14	3 2 0 11
12.345	1.2272e-14	3 2 1 4
19.95	1.9632e-14	3 2 1 5
21.291	2.1178e-14	3 2 1 6
22.324	2.5366e-14	3 2 1 7
22.637	2.593e-14	3 2 1 8
24.07	2.2957e-14	3 2 1 9
24.102	2.5369e-14	3 2 1 10
24.55	2.3434e-14	3 2 1 11
11.824	1.275e-14	3 2 2 4
19.43	2.1339e-14	3 2 2 5
20.77	2.4477e-14	3 2 2 6
21.804	2.9238e-14	3 2 2 7
22.116	2.9484e-14	3 2 2 8
23.549	2.5613e-14	3 2 2 9
23.582	2.8961e-14	3 2 2 10
24.029	2.6595e-14	3 2 2 11
4.5381	1.285e-14	3 2 3 4
12.144	1.2428e-14	3 2 3 5
13.485	5.2423e-15	3 2 3 6
14.518	3.3674e-15	3 2 3 7
14.83	4.124e-15	3 2 3 8
16.264	8.8998e-15	3 2 3 9
16.296	5.9816e-15	3 2 3 10
16.744	7.9717e-15	3 2 3 11
20.881	1.5312e-12	4 0 0 4
22.705	1.2918e-12	4 0 0 5
23.357	1.1872e-12	4 0 0 6
27.911	5.4893e-13	4 0 0 7
28.172	4.4992e-14	4 0 0 8
28.172	8.627e-14	4 0 0 9
28.173	4.4141e-13	4 0 0 10
31.042	1.9372e-13	4 0 0 11
11.464	3.2238e-13	4 0 1 4
13.288	2.4949e-13	4 0 1 5
13.941	2.3795e-13	4 0 1 6
18.494	1.0227e-13	4 0 1 7
18.756	3.9566e-14	4 0 1 8
18.756	3.035e-13	4 0 1 9
18.756	1.8463e-13	4 0 1 10
21.626	7.2817e-14	4 0 1 11
7.6918	3.3493e-14	4 0 2 4
9.516	2.4503e-14	4 0 2 5
10.168	3.5857e-14	4 0 2 6
14.722	2.9394e-14	4 0 2 7
14.983	2.5388e-13	4 0 2 8
14.983	9.1837e-14	4 0 2 9
14.984	1.2413e-13	4 0 2 10
17.853	5.7053e-14	4 0 2 11
6.95	2.2377e-13	4 0 3 4
8.7742	6.9769e-13	4 0 3 5
9.4263	7.3078e-13	4 0 3 6
13.98	7.6249e-13	4 0 3 7
14.241	1.419e-14	4 0 3 8
14.241	2.8751e-14	4 0 3 9
14.242	5.645e-13	4 0 3 10
17.112	3.293e-13	4 0 3 11
23.669	4.9525e-13	4 1 0 4
24.259	1.1235e-12	4 1 0 5
26.173	8.5324e-13	4 1 0 6
26.525	9.343e-13	4 1 0 7
27.624	7.3531e-13	4 1 0 8
31.834	5.4424e-13	4 1 0 9
32.651	4.9381e-13	4 1 0 10
34.512	7.3169e-13	4 1 0 11
14.253	2.6442e-13	4 1 1 4
14.843	9.6569e-13	4 1 1 5
16.757	7.1743e-13	4 1 1 6
17.108	7.6466e-13	4 1 1 7
18.208	5.9686e-13	4 1 1 8
22.417	4.1381e-13	4 1 1 9
23.234	3.1891e-13	4 1 1 10
25.095	2.8134e-13	4 1 1 11
10.48	2.2274e-13	4 1 2 4
11.07	4.2465e-13	4 1 2 5
12.984	3.4013e-13	4 1 2 6
13.336	3.6681e-13	4 1 2 7
14.435	3.0628e-13	4 1 2 8
18.645	2.3896e-13	4 1 2 9
19.462	2.657e-13	4 1 2 10
21.323	3.2473e-13	4 1 2 11
9.7387	4.351e-13	4 1 3 4
10.329	1.6838e-13	4 1 3 5
12.242	3.217e-13	4 1 3 6
12.594	5.1847e-13	4 1 3 7
13.694	4.9675e-13	4 1 3 8
17.903	6.7452e-13	4 1 3 9
18.72	3.888e-13	4 1 3 10
20.581	3.4629e-13	4 1 3 11
21.086	5.7849e-13	4 2 0 4
28.692	9.5345e-13	4 2 0 5
30.032	8.5574e-13	4 2 0 6
31.066	1.1636e-12	4 2 0 7
31.378	1.2784e-12	4 2 0 8
32.811	1.1256e-12	4 2 0 9
32.844	1.1699e-12	4 2 0 10
33.291	1.0527e-12	4 2 0 11
11.669	4.6174e-13	4 2 1 4
19.275	7.7016e-13	4 2 1 5
20.616	7.1313e-13	4 2 1 6
21.649	9.6556e-13	4 2 1 7
21.962	1.0539e-12	4 2 1 8
23.395	9.1769e-13	4 2 1 9
23.427	9.6425e-13	4 2 1 10
23.875	8.6489e-13	4 2 1 11
7.8969	2.3758e-13	4 2 2 4
15.503	3.6484e-13	4 2 2 5
16.843	3.7816e-13	4 2 2 6
17.877	4.4944e-13	4 2 2 7
18.189	4.5784e-13	4 2 2 8
19.622	4.1514e-13	4 2 2 9
19.655	4.5233e-13	4 2 2 10
20.102	4.247e-13	4 2 2 11
7.1551	5.977e-13	4 2 3 4
14.761	6.602e-13	4 2 3 5
16.102	1.4041e-13	4 2 3 6
17.135	1.0133e-13	4 2 3 7
17.447	1.9753e-13	4 2 3 8
18.881	5.1861e-13	4 2 3 9
18.913	3.0583e-13	4 2 3 10
19.361	4.0147e-13	4 2 3 11
